Individual ID	Gender	Population
NA06984	1	CEU
NA06989	2	CEU
NA12347	1	CEU
NA12348	2	CEU
NA06986	1	CEU
NA07037	2	CEU
NA07045	2	CEU
NA07435	1	CEU
NA07031	2	CEU
NA07051	1	CEU
NA12340	1	CEU
NA12341	2	CEU
NA12342	1	CEU
NA12343	2	CEU
NA07340	2	CEU
NA12144	1	CEU
NA12145	2	CEU
NA12146	1	CEU
NA12239	2	CEU
NA06994	1	CEU
NA07000	2	CEU
NA06985	2	CEU
NA07034	1	CEU
NA07055	2	CEU
NA12056	1	CEU
NA12057	2	CEU
NA12058	2	CEU
NA07345	2	CEU
NA07346	2	CEU
NA07347	1	CEU
NA07357	1	CEU
NA12043	1	CEU
NA12044	2	CEU
NA12046	2	CEU
NA11881	1	CEU
NA11882	2	CEU
NA11839	1	CEU
NA11840	2	CEU
NA11843	1	CEU
NA11829	1	CEU
NA11830	2	CEU
NA11831	1	CEU
NA11832	2	CEU
NA12383	2	CEU
NA12489	2	CEU
NA12546	1	CEU
NA12399	1	CEU
NA12400	2	CEU
NA12413	1	CEU
NA12414	2	CEU
NA12716	1	CEU
NA12717	2	CEU
NA12718	2	CEU
NA11992	1	CEU
NA11993	2	CEU
NA11994	1	CEU
NA11995	2	CEU
NA12234	2	CEU
NA11891	1	CEU
NA11892	2	CEU
NA11893	1	CEU
NA11894	2	CEU
NA12154	1	CEU
NA12156	2	CEU
NA12236	2	CEU
NA12248	1	CEU
NA12249	2	CEU
NA12272	1	CEU
NA12273	2	CEU
NA12274	1	CEU
NA12275	2	CEU
NA12003	1	CEU
NA12004	2	CEU
NA12005	1	CEU
NA12006	2	CEU
NA12286	1	CEU
NA12287	2	CEU
NA12282	1	CEU
NA12283	2	CEU
NA11917	1	CEU
NA11918	2	CEU
NA11919	1	CEU
NA11920	2	CEU
NA11930	1	CEU
NA11931	2	CEU
NA11932	1	CEU
NA11933	2	CEU
NA12748	1	CEU
NA12749	2	CEU
NA12750	1	CEU
NA12751	2	CEU
NA12760	1	CEU
NA12761	2	CEU
NA12762	1	CEU
NA12763	2	CEU
NA12775	1	CEU
NA12776	2	CEU
NA12777	1	CEU
NA12778	2	CEU
NA12812	1	CEU
NA12814	1	CEU
NA12815	2	CEU
NA12827	1	CEU
NA12828	2	CEU
NA12829	1	CEU
NA12830	2	CEU
NA12842	1	CEU
NA12843	2	CEU
NA12872	1	CEU
NA12873	2	CEU
NA12874	1	CEU
NA12875	2	CEU
NA12889	1	CEU
NA12890	2	CEU
NA12891	1	CEU
NA12892	2	CEU
HG00171	2	FIN
HG00173	2	FIN
HG00174	2	FIN
HG00176	2	FIN
HG00177	2	FIN
HG00178	2	FIN
HG00179	2	FIN
HG00180	2	FIN
HG00181	1	FIN
HG00182	1	FIN
HG00183	1	FIN
HG00185	1	FIN
HG00186	1	FIN
HG00187	1	FIN
HG00188	1	FIN
HG00189	1	FIN
HG00190	1	FIN
HG00266	2	FIN
HG00267	1	FIN
HG00268	2	FIN
HG00269	2	FIN
HG00270	2	FIN
HG00271	1	FIN
HG00272	2	FIN
HG00273	1	FIN
HG00274	2	FIN
HG00275	2	FIN
HG00276	2	FIN
HG00277	1	FIN
HG00278	1	FIN
HG00280	1	FIN
HG00281	2	FIN
HG00282	2	FIN
HG00284	1	FIN
HG00285	2	FIN
HG00288	2	FIN
HG00290	1	FIN
HG00302	2	FIN
HG00303	1	FIN
HG00304	2	FIN
HG00306	2	FIN
HG00308	1	FIN
HG00309	2	FIN
HG00310	1	FIN
HG00311	1	FIN
HG00312	1	FIN
HG00313	2	FIN
HG00315	2	FIN
HG00318	2	FIN
HG00319	2	FIN
HG00320	2	FIN
HG00321	1	FIN
HG00323	2	FIN
HG00324	2	FIN
HG00325	1	FIN
HG00326	2	FIN
HG00327	2	FIN
HG00328	2	FIN
HG00329	1	FIN
HG00330	2	FIN
HG00331	2	FIN
HG00332	2	FIN
HG00334	2	FIN
HG00335	1	FIN
HG00336	1	FIN
HG00337	2	FIN
HG00338	1	FIN
HG00339	2	FIN
HG00341	1	FIN
HG00342	1	FIN
HG00343	2	FIN
HG00344	2	FIN
HG00345	1	FIN
HG00346	2	FIN
HG00349	2	FIN
HG00350	2	FIN
HG00351	1	FIN
HG00353	2	FIN
HG00355	2	FIN
HG00356	2	FIN
HG00357	2	FIN
HG00358	1	FIN
HG00359	2	FIN
HG00360	1	FIN
HG00361	2	FIN
HG00362	2	FIN
HG00364	2	FIN
HG00365	2	FIN
HG00366	1	FIN
HG00367	2	FIN
HG00368	2	FIN
HG00369	1	FIN
HG00371	1	FIN
HG00372	1	FIN
HG00373	2	FIN
HG00375	1	FIN
HG00376	2	FIN
HG00377	2	FIN
HG00378	2	FIN
HG00379	2	FIN
HG00380	2	FIN
HG00381	2	FIN
HG00382	1	FIN
HG00383	2	FIN
HG00384	2	FIN
HG00144	2	GBR
HG00146	2	GBR
HG00158	2	GBR
HG00247	2	GBR
HG00096	1	GBR
HG00097	2	GBR
HG00098	1	GBR
HG00099	2	GBR
HG00100	2	GBR
HG00101	1	GBR
HG00102	2	GBR
HG00103	1	GBR
HG00104	2	GBR
HG00105	1	GBR
HG00106	2	GBR
HG00107	1	GBR
HG00108	1	GBR
HG00109	1	GBR
HG00110	2	GBR
HG00111	2	GBR
HG00112	1	GBR
HG00113	1	GBR
HG00114	1	GBR
HG00115	1	GBR
HG00116	1	GBR
HG00117	1	GBR
HG00118	2	GBR
HG00119	1	GBR
HG00120	2	GBR
HG00121	2	GBR
HG00122	2	GBR
HG00123	2	GBR
HG00125	2	GBR
HG00126	1	GBR
HG00127	2	GBR
HG00128	2	GBR
HG00129	1	GBR
HG00130	2	GBR
HG00131	1	GBR
HG00132	2	GBR
HG00133	2	GBR
HG00134	2	GBR
HG00135	2	GBR
HG00136	1	GBR
HG00137	2	GBR
HG00138	1	GBR
HG00139	1	GBR
HG00140	1	GBR
HG00141	1	GBR
HG00142	1	GBR
HG00143	1	GBR
HG00145	1	GBR
HG00148	1	GBR
HG00149	1	GBR
HG00150	2	GBR
HG00151	1	GBR
HG00152	1	GBR
HG00154	2	GBR
HG00156	1	GBR
HG00157	1	GBR
HG00159	1	GBR
HG00160	1	GBR
HG00231	2	GBR
HG00232	2	GBR
HG00233	2	GBR
HG00234	1	GBR
HG00235	2	GBR
HG00236	2	GBR
HG00237	2	GBR
HG00238	2	GBR
HG00239	2	GBR
HG00240	2	GBR
HG00242	1	GBR
HG00243	1	GBR
HG00244	1	GBR
HG00245	2	GBR
HG00246	1	GBR
HG00249	2	GBR
HG00250	2	GBR
HG00251	1	GBR
HG00252	1	GBR
HG00253	2	GBR
HG00254	2	GBR
HG00255	2	GBR
HG00256	1	GBR
HG00257	2	GBR
HG00258	2	GBR
HG00259	2	GBR
HG00260	1	GBR
HG00261	2	GBR
HG00262	2	GBR
HG00263	2	GBR
HG00264	1	GBR
HG00265	1	GBR
HG01334	1	GBR
HG01789	1	GBR
HG01790	2	GBR
HG01791	1	GBR
HG02215	2	GBR
HG04301	2	GBR
HG04302	1	GBR
HG04303	2	GBR
HG01500	1	IBS
HG01501	2	IBS
HG01503	1	IBS
HG01504	2	IBS
HG01506	1	IBS
HG01507	2	IBS
HG01509	1	IBS
HG01510	2	IBS
HG01512	1	IBS
HG01513	2	IBS
HG01515	1	IBS
HG01516	2	IBS
HG01518	1	IBS
HG01519	2	IBS
HG01521	1	IBS
HG01522	2	IBS
HG01524	1	IBS
HG01525	2	IBS
HG01527	1	IBS
HG01528	2	IBS
HG01530	1	IBS
HG01531	2	IBS
HG01536	1	IBS
HG01537	2	IBS
HG01631	1	IBS
HG01632	2	IBS
HG01628	2	IBS
HG01630	1	IBS
HG01625	1	IBS
HG01626	2	IBS
HG01623	2	IBS
HG01624	1	IBS
HG01619	1	IBS
HG01620	2	IBS
HG01617	1	IBS
HG01618	2	IBS
HG01613	2	IBS
HG01615	1	IBS
HG01610	1	IBS
HG01612	2	IBS
HG01607	2	IBS
HG01608	1	IBS
HG01605	2	IBS
HG01606	1	IBS
HG01602	2	IBS
HG01603	1	IBS
HG01668	2	IBS
HG01669	1	IBS
HG01670	2	IBS
HG01672	1	IBS
HG01673	2	IBS
HG01675	1	IBS
HG01676	2	IBS
HG01678	1	IBS
HG01679	2	IBS
HG01680	1	IBS
HG01682	1	IBS
HG01684	2	IBS
HG01685	2	IBS
HG01686	1	IBS
HG01694	1	IBS
HG01695	2	IBS
HG01697	2	IBS
HG01699	1	IBS
HG01700	1	IBS
HG01702	2	IBS
HG01704	2	IBS
HG01705	1	IBS
HG01707	2	IBS
HG01708	1	IBS
HG01709	1	IBS
HG01710	2	IBS
HG01746	2	IBS
HG01747	1	IBS
HG01756	1	IBS
HG01757	2	IBS
HG01761	1	IBS
HG01762	2	IBS
HG01765	1	IBS
HG01766	2	IBS
HG01767	1	IBS
HG01768	2	IBS
HG01770	2	IBS
HG01771	1	IBS
HG01773	2	IBS
HG01775	1	IBS
HG01776	2	IBS
HG01777	1	IBS
HG01779	2	IBS
HG01781	1	IBS
HG01783	1	IBS
HG01784	2	IBS
HG01785	1	IBS
HG01786	2	IBS
HG02218	2	IBS
HG02219	1	IBS
HG02220	2	IBS
HG02221	1	IBS
HG02223	2	IBS
HG02224	1	IBS
HG02230	2	IBS
HG02231	1	IBS
HG02232	2	IBS
HG02233	1	IBS
HG02235	2	IBS
HG02236	1	IBS
HG02238	1	IBS
HG02239	2	IBS
NA20502	2	TSI
NA20503	2	TSI
NA20504	2	TSI
NA20505	2	TSI
NA20506	2	TSI
NA20507	2	TSI
NA20508	2	TSI
NA20509	1	TSI
NA20510	1	TSI
NA20511	1	TSI
NA20512	1	TSI
NA20513	1	TSI
NA20514	2	TSI
NA20515	1	TSI
NA20516	1	TSI
NA20517	2	TSI
NA20518	1	TSI
NA20519	1	TSI
NA20520	1	TSI
NA20521	1	TSI
NA20522	2	TSI
NA20524	1	TSI
NA20525	1	TSI
NA20526	2	TSI
NA20527	1	TSI
NA20528	1	TSI
NA20529	2	TSI
NA20530	2	TSI
NA20531	2	TSI
NA20532	1	TSI
NA20533	2	TSI
NA20534	1	TSI
NA20535	2	TSI
NA20536	1	TSI
NA20537	1	TSI
NA20538	1	TSI
NA20539	1	TSI
NA20540	2	TSI
NA20541	2	TSI
NA20542	2	TSI
NA20543	1	TSI
NA20544	1	TSI
NA20581	1	TSI
NA20582	2	TSI
NA20585	2	TSI
NA20586	1	TSI
NA20587	2	TSI
NA20588	1	TSI
NA20589	2	TSI
NA20752	1	TSI
NA20753	2	TSI
NA20754	1	TSI
NA20755	1	TSI
NA20756	2	TSI
NA20757	2	TSI
NA20758	1	TSI
NA20759	1	TSI
NA20760	2	TSI
NA20761	2	TSI
NA20762	1	TSI
NA20763	1	TSI
NA20764	2	TSI
NA20765	1	TSI
NA20766	2	TSI
NA20767	1	TSI
NA20768	2	TSI
NA20769	2	TSI
NA20770	1	TSI
NA20771	2	TSI
NA20772	2	TSI
NA20773	2	TSI
NA20774	2	TSI
NA20775	2	TSI
NA20778	1	TSI
NA20783	1	TSI
NA20785	1	TSI
NA20786	2	TSI
NA20787	1	TSI
NA20790	2	TSI
NA20795	2	TSI
NA20796	1	TSI
NA20797	2	TSI
NA20798	1	TSI
NA20799	2	TSI
NA20800	2	TSI
NA20801	1	TSI
NA20802	2	TSI
NA20803	1	TSI
NA20804	2	TSI
NA20805	1	TSI
NA20806	1	TSI
NA20807	2	TSI
NA20808	2	TSI
NA20809	1	TSI
NA20810	1	TSI
NA20811	1	TSI
NA20812	1	TSI
NA20813	2	TSI
NA20814	1	TSI
NA20815	1	TSI
NA20816	1	TSI
NA20818	2	TSI
NA20819	2	TSI
NA20821	2	TSI
NA20822	2	TSI
NA20826	2	TSI
NA20827	1	TSI
NA20828	2	TSI
NA20829	1	TSI
NA20831	1	TSI
NA20832	2	TSI
